Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region,Magnitude,Latitude (�N),Longitude (�E),Depth (km),Author,Upload Date (mm/yyyy)
2007150801,"Pisco, Peru",15/08/2007,Near Coast Of Peru,8.17,-13.39,-76.6,39,Hayes (2017),Nov-19
2007010401,Solomon Islands,1/4/2007,Solomon Islands,8.2,-8.46,157.04,10,Hayes (2017),Nov-19
2007250301,"Noto Hanto, Japan",25/03/2007,"Near West Coast Of Honshu, Japan",6.73,37.217,136.7019,9.6,Asano and Iwata (2011),Feb-16
2007210101,Molucca Sea,21/01/2007,Northern Molucca Sea,7.45,1.07,126.28,22,Hayes (2017),Nov-19
2007130101,Kuril Islands,13/01/2007,East Of Kuril Islands,8.18,46.24,154.52,7.5,Hayes (2017),Nov-19
2006261202,Pingtung evnt2 (Taiwan),26/12/2006,Taiwan Region,6.8,21.97,120.42,50.2,Yen et al. (2008),Jun-15
2006261201,Pingtung evnt1 (Taiwan),26/12/2006,Taiwan Region,6.9,21.69,120.56,44.1,Yen et al. (2008),Jun-15
2006151101,Kuril Islands,15/11/2006,Kuril Islands,8.29,46.51,153.39,15.3,Hayes (2017),Nov-19
2006170701,"Java, Indonesia",17/07/2006,"South Of Java, Indonesia",7.7,-9.25,107.41,12,Hayes (2017),Nov-19
2005081001,"Kashmir, Pakistan",8/10/2005,Pakistan,7.6,34.4905,73.6253,10.9,"Konca (Caltech, Kashmir 2005)",Aug-13
2005160801,"Honshu , Japan",16/08/2005,"Near East Coast Of Honshu, Japan",7.5,38.2398,142.0458,34.5,"Shao and Ji (UCSB, Honshu 2005)",Aug-13
2005150601,Northern Californi,15/06/2005,Off Coast Of Northern California,7.2,41.2932,-125.9812,9,"Shao and Ji (UCSB, Northern California 2005)",Sep-13
2005200401,Fukuoka (Japan),20/04/2005,"Kyushu, Japan",5.57,33.67,130.29,13,Asano and Iwata (2006),May-16
2005070401,"Zhongba, Tibet",7/4/2005,Xizang,6.2,29.76,90.43,6,Elliott et al. (2010),Dec-15
2005280301,Sumatra,28/03/2005,"Northern Sumatra, Indonesia",8.59,1.95,96.91,28.5,Hayes (2017),Nov-19
2005200301,Fukuoka (Japan),20/03/2005,"Kyushu, Japan",6.64,33.75,130.16,14,Asano and Iwata (2006),May-16
2004261201,Sumatra (Indonesia),26/12/2004,"Off west coast of northern Sumatera, Indonesia",9.1,3.3,95.78,35,Ammon et al. (2005),Jan-13
2004231001,"Niigata-Ken Chuetsu, Japan",23/10/2004,"Near West Coast Of Honshu, Japan",6.62,37.307,138.839,10.6,Asano and Iwata (2009),May-16
2004280901,Parkfield (Calif.),28/09/2004,"Central California, United States",6.06,35.8185,-120.3706,8.3,Custodio et al. (2005),Oct-12
2004110701,"Zhongba, Tibet",11/7/2004,Xizang,6.2,30.73,83.83,10,Elliott et al. (2010),Dec-15
2004070201,"Irian-Jaya,Indonesia",7/2/2004,"Irian Jaya Region, Indonesia",7.2,-3.9906,135.051,11.2,"Wei (Caltech, Irian-Jaya 2004)",Aug-13
2003261201,"Bam, Iran",26/12/2003,Southern Iran,6.5,29.052,58.365,8,Poiata et al. (2012a),Oct-13
2003250901,Tokachi-oki (Japan),25/09/2003,"Hokkaido, Japan, region",8.24,41.81,143.91,27,Hayes (2017),Nov-19
2003250701,Miyagi-hokubu (Japan),25/07/2003,"Near east coast of eastern Honshu, Japan",6.1,38.403,141.174,6.5,Hikima and Koketsu (2004),Oct-12
2003150701,Carlsberg Ridge,15/07/2003,Carlsberg Ridge,7.6,-2.6116,68.3704,11.3,"Wei (Caltech, Carlsberg 2003)",Aug-13
2003210501,Boumerdes (Algeria),21/05/2003,Northern Algeria,7.25,36.83,3.65,16,Semmane et al. (2005),Oct-12
2003220101,Colima (Mexico),22/01/2003,"Near coast of Jalisco, Mexico",7.46,18.77,-104.1,24,Hayes (2017),Nov-19
2002031101,Denali (Alaska),3/11/2002,"Central Alaska, United States",7.85,63.5141,-147.4529,5.6,Asano et al. (2005),Sep-21
2001141101,"Qinghai, China",14/11/2001,"Qinghai, China",7.84,35.95,90.54,10,"Hayes (NEIC, Qinghai 2015)",May-16
2001240301,Geiyo (Japan),24/03/2001,"Western Honshu, Japan",6.68,34.1292,132.6962,46.5,Kakehi (2004),Oct-12
2001260101,Bhuj (India),26/01/2001,Southern India,7.38,23.4,70.32,20,Antolik and Dreger (2003),Oct-12
2000061001,Tottori (Japan),6/10/2000,"Western Honshu, Japan",6.86,35.269,133.357,14,Iwata et al. (2000),Oct-12
2000170601,Kleifarvatn (Iceland),17/06/2000,Iceland region,5.87,63.9038,-21.9664,4,Sudhaus and Jonsson (2008),Aug-13
1999121101,Duzce (Turkey),12/11/1999,Turkey,6.71,40.76,31.16,10,Birgoren et al. (2004),Oct-12
1999161001,Hector Mine (Calif.),16/10/1999,"Southern California, United States",7.17,34.597,-116.27,15,Ji et al. (2002),Oct-12
1999300901,Oaxaca (Mexico),30/09/1999,Southeastcentral Pacific Ocean,7.47,16,-97.02,39.7,Hernandez et al. (2001),Dec-13
1999200901,ChiChi (Taiwan),20/09/1999,Taiwan,7.68,23.869,120.84,8,Chi et al. (2001),Oct-12
1999170801,Izmit (Turkey),17/08/1999,Turkey,7.59,40.725,29.987,17,Bouchon et al. (2002),Mar-13
1998291101,Ceram Sea,29/11/1998,Ceram Sea,7.69,-2.07,124.89,16,Hayes (2017),Oct-19
1998180901,Hida Swarm EV16 (Japan),18/09/1998,"Eastern Honshu, Japan",4.41,36.3337,137.6577,1.9,Ide (2001),Oct-12
1998030901,Iwate (Japan),3/9/1998,"Eastern Honshu, Japan",6.27,39.8132,140.8966,7.5,Miyakoshi et al. (2000),Oct-12
1998250801,"Pumqu-Xainza, Tibet",25/08/1998,Xizang,6.16,30.1345,88.31,8.3,Wang et al. (2014),Mar-20
1998220801,Hida Swarm EV11 (Japan),22/08/1998,"Eastern Honshu, Japan",4.33,36.2396,137.6529,2.6,Ide (2001),Oct-12
1998170801,Hida Swarm EV10 (Japan),17/08/1998,"Eastern Honshu, Japan",4.45,36.3512,137.6228,3,Ide (2001),Oct-12
1998160802,Hida Swarm EV09 (Japan),16/08/1998,"Eastern Honshu, Japan",5.13,36.3222,137.6327,3.4,Ide (2001),Oct-12
1998160801,Hida Swarm EV08 (Japan),16/08/1998,"Eastern Honshu, Japan",4.11,36.318,137.641,2.6,Ide (2001),Oct-12
1998140801,Hida Swarm EV07 (Japan),14/08/1998,"Eastern Honshu, Japan",4.41,36.3017,137.6307,3.7,Ide (2001),Oct-12
1998120801,Hida Swarm EV05 (Japan),12/8/1998,"Eastern Honshu, Japan",4.54,36.2351,137.6256,3.3,Ide (2001),Oct-12
1998170701,Rueyli (Taiwan),17/07/1998,Taiwan,5.84,23.5,120.66,6,Ma and Wu (2001),May-20
1998250302,Antarctica Normal-Faulting Segment,25/03/1998,Balleny Islands region,7.76,-62.86,149.74,12,Antolik et al. (2000),Oct-12
1998250301,Antarctica Strike-Slip Segment,25/03/1998,Balleny Islands region,7.98,-62.86,149.74,12,Antolik et al. (2000),Oct-12
1997141001,Colfiorito Sequence # 3 (Italy),14/10/1997,Central Italy,5.86,42.919,12.926,5.6,Hernandez et al. (2004),Oct-12
1997260901,Colfiorito Sequence # 1 (Italy),26/09/1997,Central Italy,5.72,43.0225,12.8917,4,Hernandez et al. (2004),Oct-12
1997260902,Colfiorito Sequence # 2 (Italy),26/09/1997,Central Italy,5.97,43.0305,12.8622,5.1,Hernandez et al. (2004),Oct-12
1997250601,Yamaguchi (Japan),25/06/1997,"Western Honshu, Japan",5.81,34.441,131.676,7.5,Ide (1999),Oct-12
1997130501,Kagoshimaen-hoku-seibu (Japan),13/05/1997,"Kyushu, Japan",6.01,31.952,130.34,7.7,Horikawa (2001),Oct-12
1997100501,Zirkuh (East Iran),10/5/1997,Northern And Central Iran,7.2,33.82,59.8,10,Sudhaus and Jonsson (2011),Nov-13
1997260301,Kagoshimaen-hoku-seibu (Japan),26/03/1997,"Kyushu, Japan",6.1,31.9681,130.3875,7.6,Horikawa (2001),Oct-12
1996021201,Hyuga-nada2 (Japan),2/12/1996,"Kyushu, Japan",6.68,31.803,131.588,20.4,Yagi et al. (1999),Oct-12
1996121101,Nazca Ridge (Peru),12/11/1996,Near coast of Peru,7.7,-14.973,-75.57,21,Hayes (2017),Oct-19
1996191001,Hyuga-nada1 (Japan),19/10/1996,"Southeast of Shikoku, Japan",6.81,31.835,131.958,11.6,Yagi et al. (1999),Oct-12
1996030701,"Pumqu-Xainza, Tibet",3/7/1996,Xizang,6.08,30.1456,88.2894,8.3,Wang et al. (2014),Dec-15
1995311001,Taiwan (9510312227P000),31/10/1995,Taiwan,4.93,23.291,120.359,10.7,Ma and Wu (2001),May-20
1995091001,Colima (Mexico),9/10/1995,Southeastcentral Pacific Ocean,7.89,18.864,-104.579,16,Hayes (2017),Oct-19
1995140901,"Copala, Mexico",14/09/1995,"Near Coast Of Guerrero, Mexico",7.3,16.48,-98.76,15.9,Courboulex et al. (1997),Jun-15
1995140701,Taiwan (9507141652),14/07/1995,Taiwan,5.07,24.368,121.743,9.8,Ma and Wu (2001),May-20
1995170101,Kobe (Japan),17/01/1995,"Near south coast of western Honshu, Japan",6.8,34.6,135.04,14,Cho and Nakanishi (2000),Oct-12
1994281201,Sanrikuki (Japan),28/12/1994,"Off east coast of Honshu, Japan",7.72,40.45,143.49,26,Hayes (2017),Oct-19
