Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2023,6,9,14,9,29,2.0,32.8354,-100.5458,7.2
2023,6,9,10,44,48,2.3,31.6778,-104.3944,8.1
2023,6,9,3,15,11,1.9,31.6766,-104.3979,7.8
2023,6,8,17,6,3,2.0,31.6791,-104.4286,7.7
2023,6,8,16,25,6,2.0,32.4417,-102.1214,11.8
2023,6,8,15,34,12,1.7,32.7676,-100.6637,0.7
2023,6,8,15,9,46,2.0,31.6069,-104.1105,7.3
2023,6,8,14,37,29,2.1,31.6717,-104.3688,7.8
2023,6,8,14,5,50,3.1,32.7548,-100.6530,7.1
2023,6,8,7,47,36,2.0,31.5733,-104.1751,6.0
2023,6,8,0,42,39,1.5,31.6799,-104.1705,6.2
2023,6,7,19,16,17,2.0,31.3520,-103.4004,6.9
2023,6,7,16,14,53,2.3,31.6886,-104.3969,8.0
2023,6,7,16,10,43,1.6,31.5981,-104.0056,6.6
2023,6,7,10,55,48,2.7,31.9507,-103.3367,7.8
2023,6,7,9,53,19,1.9,32.3630,-102.0807,9.8
2023,6,7,9,47,25,2.0,31.9967,-103.8256,8.0
2023,6,6,18,15,11,1.8,31.4895,-104.0497,7.1
2023,6,6,16,52,59,2.3,31.6116,-104.1102,7.1
2023,6,6,15,49,29,2.2,31.6095,-104.1163,7.3
2023,6,6,10,12,3,2.0,31.6698,-104.3779,7.9
2023,6,6,8,24,39,2.0,31.6740,-104.3699,8.0
2023,6,6,3,12,24,2.9,31.6079,-103.9610,7.4
2023,6,5,21,48,7,2.0,31.6023,-103.9825,6.2
2023,6,5,19,9,24,2.0,30.9410,-103.2117,4.9
2023,6,5,18,44,3,2.0,31.7156,-104.2593,8.0
2023,6,5,14,46,34,1.8,31.6802,-104.4803,7.4
2023,6,5,10,8,54,1.9,31.6043,-103.9432,7.7
2023,6,5,8,18,6,2.0,31.8558,-101.7977,10.6
2023,6,5,0,47,20,2.2,31.6732,-104.4926,7.4
2023,6,4,17,8,37,2.1,31.6010,-103.9669,9.4
2023,6,4,12,38,46,2.0,31.5731,-104.1571,9.3
2023,6,4,8,20,21,1.9,31.6349,-103.9945,7.1
2023,6,4,7,22,0,2.0,31.6348,-103.9911,7.4
2023,6,4,7,11,10,1.8,31.6353,-103.9917,7.1
2023,6,4,1,25,16,2.4,31.6620,-104.3843,8.3
2023,6,4,1,11,38,1.8,31.6518,-104.0231,7.7
2023,6,3,22,50,45,2.2,30.8702,-103.4687,2.9
2023,6,3,18,48,13,2.5,31.6708,-104.5416,8.1
2023,6,3,18,32,59,2.3,31.6472,-104.4595,9.0
2023,6,3,10,49,40,2.6,31.7370,-104.1075,8.5
2023,6,3,6,19,46,2.0,31.6731,-104.1997,7.5
2023,6,3,1,36,21,2.0,31.0359,-103.3279,6.1
2023,6,3,1,30,59,2.8,31.0630,-103.3188,3.8
2023,6,3,0,1,9,3.0,31.6747,-104.4059,7.3
2023,6,2,21,51,49,3.4,31.6742,-104.4086,7.9
2023,6,2,20,0,18,2.0,31.6789,-104.3952,7.9
2023,6,2,19,4,3,2.1,31.6707,-104.3908,7.5
2023,6,2,14,45,39,2.3,31.5475,-104.0177,3.7
2023,6,2,13,48,10,2.1,31.5732,-104.1356,8.0
2023,6,2,9,28,16,2.1,31.6875,-104.4109,7.3
2023,6,2,9,21,18,1.1,32.2018,-102.1407,8.9
2023,6,2,7,4,19,2.0,29.1312,-97.6444,5.9
2023,6,2,3,28,31,2.1,31.6778,-104.4227,7.8
2023,6,2,3,12,12,1.9,31.7253,-104.3197,6.4
2023,6,1,21,3,51,2.3,32.4197,-102.1300,8.1
2023,6,1,18,8,30,1.9,31.8192,-103.6592,8.4
2023,6,1,10,49,45,2.0,31.6843,-104.4082,7.4
2023,6,1,3,41,20,1.8,31.6476,-104.1105,2.8
