Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1912,6,12,12,43,0.0,-89.000,17.000,0,0.0,0,0.0,0,6.8,132,0,0,0.0,0,0.0,0,0.0,0,6.8,165
1912,11,19,13,55,7.0,-99.830,19.930,2; 7,Sh,7,0.0,0,6.8,15,7.0,7,0.0,0,0.0,0,0.0,0,7.0,165
1912,12,9,8,32,24.0,-93.000,15.500,13,0.0,0,0.0,0,7.1,13,0.0,0,0.0,0,0.0,0,0.0,0,7.3,165
1914,3,30,0,41,18.0,-92.000,17.000,11,150.0,47,0.0,0,0.0,0,0.0,0,7.5,11,0.0,0,0.0,0,7.5,164
1915,9,7,1,20,48.0,-89.000,14.000,0,80.0,0,0.0,0,7.8,129,0,0,0.0,0,0.0,0,0.0,0,7.9,165
1915,11,21,0,13,22.0,-115.000,32.000,5,10.0,47,0.0,0,7.1,5; 103,0.0,0,7.0,43,0.0,0,0.0,0,7.0,164
1916,6,2,13,59,24.0,-95.000,17.500,2; 7,150.0,7,0.0,0,7.0,12,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1916,11,21,6,25,24.0,-100.000,18.000,2; 7,Sh,7,0.0,0,6.8,15,7.0,7,0.0,0,0.0,0,0.0,0,7.0,165
1917,6,8,0,51,28.0,-91.000,14.500,20; 21,91.0,20; 21,0.0,0,7.0,20; 21,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1917,10,19,16,36,50.0,-100.000,18.000,7,Sh,7,0.0,0,6.3,7,6.8,21,0.0,0,0.0,0,0.0,0,6.5,165
1917,12,29,22,50,20.0,-97.000,15.000,2; 7,Sh,7,0.0,0,7.1,7; 15,7.5,20; 21,6.9,43,0.0,0,0.0,0,6.9,164
1918,5,23,11,57,30.0,-111.000,27.000,22,10.0,0,0.0,0,6.8,89; 102,0.0,0,6.8,43,0.0,0,0.0,0,6.8,164
1918,6,7,21,27,6.0,-103.300,18.700,7,Sh,7,0.0,0,6.6,7; 18,6.8,21,0.0,0,0.0,0,0.0,0,6.8,165
1918,10,19,3,23,4.5,-90.023,13.880,0,35.0,0,0.0,0,0.0,0,0,0,6.6,159,0.0,0,0.0,0,6.6,164
1919,4,17,20,53,3.0,-92.200,14.800,9,0.0,0,0.0,0,7.0,9; 103,0.0,0,6.8,43,0.0,0,0.0,0,6.8,164
1920,1,4,4,21,56.0,-96.970,19.270,7,Sh,7,0.0,0,6.4,7; 14,7.8,105,0.0,0,0.0,0,0.0,0,6.6,165
1920,3,23,15,21,52.4,-93.521,16.145,0,15.0,0,0.0,0,0.0,0,0.0,0,6.2,159,0.0,0,0.0,0,6.2,164
1920,4,19,21,6,36.0,-97.000,19.000,22,110.0,89,0.0,0,6.7,102,0.0,0,0.0,0,0.0,0,0.0,0,6.9,165
1920,7,3,16,34,54.6,-94.062,15.160,0,25.0,0,0.0,0,0.0,0,0.0,0,5.8,159,0.0,0,0.0,0,5.8,164
1920,10,1,18,50,59.8,-99.346,16.278,0,10.0,0,0.0,0,0.0,0,0.0,0,5.9,159,0.0,0,0.0,0,5.9,164
1920,10,8,16,50,51.0,-91.449,16.663,0,10.0,0,0.0,0,0.0,0,0.0,0,6.3,159,0.0,0,0.0,0,6.3,164
1921,2,4,8,22,44.0,-91.000,15.000,9; 10; 6,120.0,10,0.0,0,7.2,9; 10,0.0,0,7.0,43,0.0,0,0.0,0,7.0,164
1921,3,6,7,25,13.1,-109.958,26.497,0,15.0,0,0.0,0,0.0,0,0.0,0,6.3,159,0.0,0,0.0,0,6.3,164
1921,3,28,7,49,30.0,-87.090,13.635,0,15.0,0,0.0,0,7.4,131,0,0,7.3,43,0.0,0,0.0,0,7.3,164
1921,4,21,20,1,36.0,-103.300,18.200,7,Sh,7,0.0,0,6.5,7,0.0,0,0.0,0,0.0,0,0.0,0,6.7,165
1921,5,1,5,38,56.0,-104.500,18.500,7,Sh,7,0.0,0,6.4,7,6.8,21,6.6,91,0.0,0,0.0,0,6.6,164
1922,6,12,4,47,44.0,-108.500,24.000,23,10.0,89,0.0,0,6.7,89,0.0,0,7.0,91,0.0,0,0.0,0,7.0,164
1922,6,12,10,42,43.0,-106.790,19.091,0,10.0,0,0.0,0,0.0,0,0.0,0,6.0,159,0.0,0,0.0,0,6.0,164
1923,8,28,23,15,13.1,-109.098,24.844,24,10.0,89,0.0,0,0.0,0,0.0,0,6.8,91,0.0,0,0.0,0,6.8,164
