Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Template Event Magnitude,Detection Magnitude,Event Template ID,Detection ID,Correlation Coefficient
2016,9,21,4,44,36,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210072,0.5950
2016,9,21,4,45,59,38.4676,-112.7968,5.32,1.0,-0.1,04,1609210073,0.9410
2016,9,21,4,47,22,38.4680,-112.7941,4.20,-0.6,-1.6,20,1609210074,0.4330
2016,9,21,4,53,25,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609210075,0.4390
2016,9,21,4,54,18,38.4678,-112.7989,5.55,0.1,-1.0,11,1609210076,0.5270
2016,9,21,4,55,6,38.4693,-112.7955,4.78,0.3,-0.1,31,1609210077,0.3450
2016,9,21,4,55,26,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609210078,0.4430
2016,9,21,4,56,20,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210079,0.6510
2016,9,21,5,0,24,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210080,0.6220
2016,9,21,5,1,3,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210081,0.4410
2016,9,21,5,1,54,38.4673,-112.7947,4.39,1.3,-0.2,36,1609210082,0.4540
2016,9,21,5,2,13,38.4678,-112.7989,5.55,0.1,-0.5,11,1609210083,0.7540
2016,9,21,5,4,6,38.4698,-112.7871,1.27,-0.1,-0.5,19,1609210084,0.5570
2016,9,21,5,12,45,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210085,0.6530
2016,9,21,5,14,19,38.4677,-112.7892,2.44,-0.7,-1.2,58,1609210086,0.5670
2016,9,21,5,16,56,38.4698,-112.7871,1.27,-0.1,-0.6,19,1609210087,0.6150
2016,9,21,5,23,39,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210088,0.5020
2016,9,21,5,24,13,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210089,0.6790
2016,9,21,5,36,24,38.4677,-112.7892,2.44,-0.7,-1.6,58,1609210090,0.4900
2016,9,21,5,39,51,38.4678,-112.7989,5.55,0.1,-1.0,11,1609210091,0.4880
2016,9,21,5,40,45,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609210092,0.5460
2016,9,21,5,46,4,38.4698,-112.7871,1.27,-0.1,-0.8,19,1609210093,0.5220
2016,9,21,5,46,25,38.4680,-112.7941,4.20,-0.6,-0.6,20,1609210094,0.8210
2016,9,21,5,46,48,38.4681,-112.7908,3.91,0.2,-0.9,17,1609210095,0.5390
2016,9,21,5,50,3,38.4678,-112.7969,5.34,1.5,-0.2,03,1609210096,0.7140
2016,9,21,5,57,0,38.4664,-112.7945,4.02,-0.0,-1.6,73,1609210097,0.4290
2016,9,21,6,7,49,38.4678,-112.7989,5.55,0.1,-1.4,11,1609210098,0.5210
2016,9,21,6,8,7,38.4677,-112.7892,2.44,-0.7,-1.8,58,1609210099,0.4730
2016,9,21,6,8,32,38.4678,-112.7989,5.55,0.1,-1.5,11,1609210100,0.4950
2016,9,21,6,17,55,38.4677,-112.7892,2.44,-0.7,-1.3,58,1609210101,0.6200
2016,9,21,6,27,52,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210102,0.6840
2016,9,21,6,29,28,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210103,0.7110
2016,9,21,6,35,32,38.4698,-112.7871,1.27,-0.1,-1.2,19,1609210104,0.4730
2016,9,21,6,42,1,38.4680,-112.7941,4.20,-0.6,-1.3,20,1609210105,0.5370
2016,9,21,6,43,7,38.4680,-112.7941,4.20,-0.6,-1.3,20,1609210106,0.5370
2016,9,21,7,2,21,38.4660,-112.7899,2.60,-0.3,-1.7,07,1609210107,0.4430
2016,9,21,7,3,42,38.4680,-112.7941,4.20,-0.6,-1.3,20,1609210108,0.4370
2016,9,21,7,4,18,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210109,0.6900
2016,9,21,7,15,20,38.4693,-112.7955,4.78,0.3,-1.0,31,1609210110,0.3150
2016,9,21,7,20,9,38.4678,-112.7989,5.55,0.1,-0.9,11,1609210111,0.4650
2016,9,21,7,29,0,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210112,0.6310
2016,9,21,7,29,22,38.4678,-112.7989,5.55,0.1,-0.5,11,1609210113,0.6400
2016,9,21,7,29,31,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210114,0.5960
2016,9,21,7,29,48,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210115,0.6150
2016,9,21,7,36,26,38.4678,-112.7989,5.55,0.1,-0.7,11,1609210116,0.6040
2016,9,21,7,41,44,38.4678,-112.7989,5.55,0.1,-0.5,11,1609210117,0.4960
2016,9,21,8,0,1,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210118,0.7890
2016,9,21,8,3,11,38.4677,-112.7892,2.44,-0.7,-1.7,58,1609210119,0.4490
2016,9,21,8,42,40,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210120,0.7050
2016,9,21,8,53,39,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210121,0.5790
2016,9,21,9,32,11,38.4677,-112.7892,2.44,-0.7,-1.3,58,1609210122,0.6190
2016,9,21,9,32,26,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210123,0.5020
2016,9,21,10,8,42,38.4676,-112.7968,5.32,1.0,-0.6,04,1609210124,0.7000
2016,9,21,10,9,58,38.4678,-112.7989,5.55,0.1,-1.0,11,1609210125,0.5590
2016,9,21,10,45,32,38.4677,-112.7892,2.44,-0.7,-1.0,58,1609210126,0.6320
2016,9,21,11,54,47,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609210127,0.4350
2016,9,21,12,33,31,38.4678,-112.7989,5.55,0.1,-1.0,11,1609210128,0.4640
2016,9,21,12,59,51,38.4698,-112.7871,1.27,-0.1,-1.1,19,1609210129,0.4470
2016,9,21,13,0,43,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210130,0.7170
2016,9,21,17,35,23,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210131,0.5060
2016,9,21,17,35,44,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210132,0.5340
2016,9,21,17,45,13,38.4681,-112.7908,3.91,0.2,-1.1,17,1609210133,0.6040
2016,9,21,17,46,41,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210134,0.5120
2016,9,21,19,40,58,38.4677,-112.7892,2.44,-0.7,-1.1,58,1609210135,0.4870
2016,9,21,19,42,16,38.4691,-112.7873,1.84,0.0,-0.2,16,1609210136,0.8220
2016,9,21,19,42,22,38.4698,-112.7871,1.27,-0.1,-0.2,19,1609210137,0.5130
2016,9,21,19,45,16,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210138,0.7020
2016,9,21,19,45,44,38.4681,-112.7908,3.91,0.2,-0.8,17,1609210139,0.4100
2016,9,21,19,48,44,38.4678,-112.7969,5.34,1.5,-0.6,03,1609210140,0.3160
2016,9,21,19,49,26,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210141,0.7170
2016,9,21,19,50,57,38.4698,-112.7871,1.27,-0.1,-0.8,19,1609210142,0.5080
2016,9,21,19,52,18,38.4664,-112.7945,4.02,-0.0,-1.4,73,1609210143,0.4190
2016,9,21,19,56,59,38.4678,-112.7969,5.34,1.5,-0.6,03,1609210144,0.3150
2016,9,21,20,0,38,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210145,0.4650
2016,9,21,20,1,57,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210146,0.5130
