Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1481.0,5.0,3.0,,,,7.1,28.0,36.0,
1481.0,7.0,15.0,,,,6.0,99.9,26.5,
1482.0,,,,,0.0,7.5,40.4,39.9,
1482.0,,,,,0.0,6.5,56.9,26.1,
1483.0,2.0,18.0,,,,7.7,57.9,24.9,
1484.0,1.0,29.0,,,,6.8,116.5,40.5,
1485.0,8.0,14.0,,,0.0,6.5,49.9,36.9,
1487.0,8.0,10.0,,,,6.3,108.9,34.4,
1488.0,9.0,16.0,,,,5.5,103.9,31.7,
1490.0,2.0,20.0,,,0.0,5.8,67.1,39.4,15.0
1493.0,1.0,10.0,,,0.0,6.5,59.8,33.0,
1494.0,3.0,24.0,,,,5.5,103.8,25.5,
1494.0,7.0,1.0,,,,7.2,25.5,35.5,
1495.0,4.0,10.0,,,,6.3,105.6,37.6,
1495.0,9.0,12.0,,,,7.1,139.5,35.1,
1498.0,7.0,9.0,,,,6.4,137.7,34.4,
1498.0,9.0,20.0,,,,8.3,138.1,34.0,
1498.0,9.0,20.0,,,,7.5,135.2,33.5,
1501.0,1.0,19.0,,,,7.0,110.1,34.8,
1502.0,10.0,17.0,,,,6.5,115.3,35.7,
1505.0,6.0,6.0,,,,8.2,83.0,29.5,
1505.0,10.0,16.0,,,,5.0,110.9,35.2,
1507.0,11.0,4.0,,,,5.3,102.5,24.6,
1509.0,9.0,10.0,,,,7.7,28.1,40.8,
1510.0,9.0,21.0,,,,6.7,135.4,34.6,
1510.0,10.0,10.0,,,,7.0,137.6,34.5,
1511.0,3.0,26.0,14.0,30.0,,6.5,13.433,46.2,7.0
1511.0,11.0,17.0,,,,5.8,100.0,26.6,
1512.0,10.0,8.0,,,,6.5,98.5,25.0,
1513.0,,,,,0.0,8.7,-72.3,-17.2,30.0
1514.0,9.0,14.0,,,,5.5,99.1,25.1,
1515.0,6.0,17.0,,,,7.0,100.2,26.6,
1517.0,7.0,12.0,,,,5.5,102.6,24.1,
1518.0,7.0,2.0,,,,6.7,125.0,38.0,
1520.0,3.0,26.0,,,,5.5,100.3,25.3,
1520.0,4.0,4.0,,,,7.0,136.3,33.6,
1530.0,9.0,1.0,14.0,30.0,0.0,8.0,-64.2,10.5,10.0
1531.0,1.0,26.0,,,,7.7,-9.1,38.7,
1531.0,1.0,,,,,4.8,117.5,30.7,
1535.0,5.0,,,,,5.0,116.4,25.8,
1536.0,3.0,19.0,,,,7.3,102.1,28.1,
1539.0,8.0,8.0,,,,5.5,102.8,23.6,
