Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1666,9.0,22.0,,,,6.9,43.0,37.0,35.0
1666,11.0,13.0,9.0,,,7.5,39.5,39.7,10.0
1667,,,,,,6.7,-77.0,17.8,30.0
1668,1.0,14.0,,,,7.8,48.0,41.0,40.0
1668,7.0,25.0,,,,8.5,118.5,34.8,
1668,7.0,29.0,,,,7.1,48.0,41.0,30.0
1668,8.0,17.0,,,,7.9,36.0,40.5,
1671,10.0,17.0,,,,7.5,128.7,-3.8,
1672,2.0,14.0,,,,7.05,25.717,39.818,
1673,5.0,9.0,11.0,30.0,,7.3,-70.3,18.4,30.0
1673,8.0,12.0,14.0,15.0,,7.0,127.3,0.8,
1674,3.0,16.0,,,,7.4,-70.8,8.95,
1675,2.0,16.0,23.0,30.0,,7.9,127.75,-4.0,
1677,4.0,13.0,2.0,,,7.9,143.0,41.0,
1677,11.0,4.0,20.0,,,8.0,141.5,35.0,
1677,12.0,7.0,11.0,30.0,,7.3,119.5,14.5,
1678,2.0,11.0,14.0,59.0,,6.7,-76.0,19.9,30.0
1678,6.0,16.0,1.0,45.0,,7.7,-77.8,-12.3,40.0
1678,10.0,2.0,20.0,,,7.5,142.0,39.0,
1679,9.0,2.0,,,,8.0,117.0,40.0,
1681,1.0,10.0,,,,7.0,23.5,35.4,
1681,3.0,10.0,,,,7.25,-70.35,-18.5,
1681,8.0,18.0,,,,7.1,26.6,45.7,150.0
1681,12.0,11.0,,,,7.0,99.0,-2.2,
1681,12.0,27.0,4.0,30.0,,7.1,26.6,45.7,150.0
1683,10.0,16.0,,,,7.0,130.3,-4.5,
1683,10.0,20.0,5.0,,,7.0,139.9,36.9,
1683,11.0,22.0,,,,7.0,112.7,38.7,
1684,,,,,,7.0,-70.3,18.4,30.0
1686,1.0,4.0,11.0,,,7.2,132.6,34.0,
1686,10.0,3.0,7.0,,,7.0,137.4,34.45,
1687,7.0,12.0,7.0,,,7.25,-70.73,-32.75,
1687,10.0,20.0,10.0,30.0,,8.6,-76.507,-13.231,30.0
1688,10.0,19.0,,,,7.5,122.2,16.95,
1690,4.0,5.0,,,,7.5,-62.51,17.08,
1690,11.0,20.0,19.0,30.0,,7.2,-77.0,-12.55,40.0
1691,,,,,,7.5,-70.3,18.4,30.0
1692,6.0,17.0,16.0,40.0,,7.5,-76.783,17.966,
