Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region, ,Magnitude,Latitude (°N),Longitude (°E),Depth (km),Author,Upload Date (mm/yyyy)
1974031001,Peru (Central Coast),03/10/1974,Near coast of Peru,,8.01,-12.3900,-77.7600,12.0,Hartzell and Langer (1993),11/2012
1974090501,Izu-hanto-oki (Japan),09/05/1974,"Near south coast of eastern Honshu, Japan",,6.56,34.4000,138.8000,8.0,Takeo (1990),11/2012
1971090201,San Fernando (Calif.),09/02/1971,"Southern California, United States",,6.82,34.4300,-118.3700,13.0,Heaton (1982),11/2012
1969090901,Gifu-ken-chubu (Japan),09/09/1969,"Eastern Honshu, Japan",,6.43,35.4700,137.0500,2.0,Takeo (1990),11/2012
1968160501,Tokachi-oki (Japan),16/05/1968,"Off east coast of Honshu, Japan",,8.35,40.7300,143.5800,9.0,Nagai et al. (2001),11/2012
1968010401,Hyuga-nada (Japan),01/04/1968,"Shikoku, Japan",,7.53,32.2800,132.5300,15.0,Yagi et al. (1998),11/2012
1961190801,Kitamino (Japan),19/08/1961,"Near west coast of eastern Honshu, Japan",,6.47,36.2000,136.8000,10.0,Takeo (1990),11/2012
1952040301,"Tokachi-Oki,Japan",04/03/1952,"Hokkaido, Japan Region",,8.40,41.7057,144.1512,17.6,Kobayashi et al. (2021),02/2021
1948280601,Fukui (Japan),28/06/1948,"Near west coast of eastern Honshu, Japan",,6.65,36.2470,136.1880,10.1,Ichinose et al. (2005),11/2012
1946201201,Nankaido (Japan),20/12/1946,"Near south coast of western Honshu, Japan",,8.40,33.0300,135.6200,30.0,Baba et al. (2002),11/2012
1945120101,Mikawa (Japan),12/01/1945,"Near south coast of eastern Honshu, Japan",,6.67,34.7000,137.1000,10.0,Kikuchi et al. (2003),11/2012
1944071201,Tonankai (Japan),07/12/1944,"Near south coast of western Honshu, Japan",,8.04,33.7700,135.9600,30.0,Ichinose et al. (2003),11/2012
1923010901,Kanto (Japan),01/09/1923,"Near south coast of eastern Honshu, Japan",,8.08,35.4000,139.2000,14.6,Kobayashi and Koketsu (2005),11/2012
1906180401,San Francisco (Calif.),18/04/1906,"Central California, United States",,7.91,37.7800,-122.5100,10.0,Song et al. (2008),11/2012
