Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2007,9,7,23,20,0,3.8,-2.203,28.752,10
2007,9,8,8,21,43,3.7,-2.67,36.31,28
2007,9,8,14,15,33,4.9,-2.62,36.12,6
2007,9,10,0,26,43,4,-2.6982,36.2165,6.25
2007,9,12,3,55,41,3.1,-21.441,32.933,5
2007,9,12,6,0,1,3.9,-21.673,32.415,5
2007,9,12,9,54,28,4,-11.1645,34.5123,23
2007,9,14,19,10,35,3.9,-2.5993,35.9543,10
2007,9,16,2,59,13,4.2,-2.9134,36.0284,12
2007,9,19,1,42,54,3.3,-21.33,33.024,5
2007,9,25,18,26,52,3.8,-21.304,32.994,5
2007,9,27,6,59,45,4,-21.448,32.508,5
2007,9,29,7,55,15,3.8,-2.18,36.5,65
2007,10,8,5,44,39,4.3,-21.839,32.611,5
2007,10,30,21,35,58,4.2,-21.713,32.761,5
2007,11,6,9,51,26,3.9,-21.647,32.822,5
2007,11,8,1,39,11,3.9,-15.9178,34.6784,24.25
2007,11,17,17,19,29,3.3,-22.414,25.347,5
2007,11,17,17,51,58,3.6,-21.683,33.37,5
2007,12,1,13,39,10,3.4,-22.173,32.979,5
2007,12,2,7,41,33,5,-16.8526,28.639,14
2007,12,2,11,27,50,4.7,-16.67,28.512,5
2007,12,3,15,41,8,3.5,-24.563,29.543,5
2007,12,6,8,13,40,3.7,-3.33,28.37,30
2007,12,8,19,55,20,5.6,-7.5713,37.6338,11
2007,12,8,21,4,43,4,-7.6836,37.5143,10
2007,12,8,21,6,6,3.9,-7.7289,37.2925,10
2007,12,8,21,50,17,3.9,-7.7168,37.6865,10
2007,12,8,23,48,10,3.9,-7.7006,37.7113,10
2007,12,12,0,43,9,3.3,-0.71,32.97,4
2007,12,30,17,30,1,3.6,-3.6375,28.2772,0
2008,1,19,13,30,31,4.8,-7.6728,37.6785,11
2008,1,25,12,25,31,4.4,-8.3526,32.8402,32.5
2008,2,3,7,34,11,5.9,-2.3905,28.8949,14.75
2008,2,3,8,7,50,3.7,-2.764,28.8193,0
2008,2,3,10,7,2,3.5,-2.112,29.0087,0
2008,2,3,10,56,9,5,-2.4109,28.9876,12
2008,2,3,11,0,7,4.5,-2.2542,28.9886,14
2008,2,3,11,37,48,4,-2.5102,28.975,15.5
2008,2,3,13,9,52,3.6,-21.453,33.094,5
2008,2,3,23,28,32,3.9,-2.8157,28.9157,10
2008,2,4,0,24,35,4.5,-2.4801,28.9293,16.5
2008,2,5,17,29,8,4.1,-2.5424,28.8935,21
2008,2,5,22,54,45,3.8,-2.2818,28.9756,12
2008,2,11,23,59,57,3.7,-2.5034,28.9907,12
2008,2,14,2,7,47,5.3,-2.4,28.92,8
2008,2,14,6,16,28,4.2,-2.8031,36.4138,10
2008,2,14,11,5,29,3.8,-2.5297,36.3545,10
2008,2,15,4,4,53,4.6,-2.4823,28.874,12
2008,2,16,23,18,47,4.3,-6.3521,27.4236,10
2008,2,21,14,53,28,3,-23.417,30.34,10
2008,2,25,4,6,26,3.6,-24.931,31.468,5
2008,2,27,2,7,59,4,-2.4262,29.0493,12
2008,3,6,7,35,35,5.4,-5.408,36.023,10
2008,3,6,8,4,20,4.1,-5.3603,36.2832,0
2008,3,6,17,47,1,4.1,-15.3683,27.2267,27.5
2008,3,6,22,30,14,3.8,-7.2555,37.5144,12.25
2008,3,14,23,40,17,3.9,-1.4246,28.2186,10
2008,3,15,2,26,23,4.5,-19.2626,27.4141,13.25
2008,3,16,20,9,30,3.8,-3.1509,35.1995,52.5
2008,3,16,20,9,43,3.8,-2.9999,34.7015,0
2008,4,11,15,26,23,3.6,-21.495,33.161,5
2008,4,26,2,40,30,3.1,-23.493,25.412,5
2008,5,14,15,29,20,3.6,-21.674,33.153,5
2008,6,8,17,13,6,3.9,-2.5311,28.9824,14.75
2008,6,19,7,25,16,4.8,-4.6396,29.5374,10
2008,7,10,23,55,0,4.3,-2.7873,35.8701,10
2008,7,25,6,6,57,3,-0.43,30.58,13
2008,8,7,9,58,58,3.6,-22.143,32.349,5
2008,8,29,16,36,13,4,-0.0561,29.6809,0
2008,9,2,12,2,8,4,-5.2641,36.0495,9
2008,9,9,0,43,1,4.3,-5.0499,29.6735,10
2008,9,10,10,15,23,4.2,-7.4274,30.3896,18
2008,9,15,15,50,53,5.2,-4.982,30.1284,22.5
2008,10,1,14,15,53,4,-0.8003,33.6801,26.25
2008,10,5,0,2,13,5.3,-1.13,29.12,9
2008,10,5,0,32,9,3.8,-1.4825,29.1054,10
2008,10,25,14,5,23,3,-23.629,27.156,5
2008,11,3,21,48,15,3.8,-4.6285,29.3769,10
2008,11,25,15,5,41,4.8,-21.9147,33.6085,27.75
2008,12,14,9,43,13,5.2,-7.35,30.13,23
2008,12,23,18,21,3,4,-0.5479,29.5575,10
2009,1,10,9,2,2,4.2,-3.2456,27.8301,10
2009,1,27,17,7,55,4.4,-6.036,36.072,10
2009,1,27,22,17,33,4,-5.627,35.872,10
2009,2,1,3,6,6,3.4,-9.94,33.83,11
2009,2,1,19,16,51,3.7,-7.18,30.32,0
2009,2,3,15,48,56,5,-3.8618,34.7845,28.4
