Time ID,Magnitude,Station Count,Author,Publication Time
2016-06-24T00:16:53.429000Z,2.113023977402084,13,University Potsdam,2019-09-17T15:36:49.896461Z
2016-06-24T01:54:53.820000Z,0.7529289911915651,6,University Potsdam,2019-09-17T15:36:56.490369Z
2016-06-24T03:22:19.693000Z,2.914671338049561,10,University Potsdam,2019-09-17T15:37:03.108278Z
2016-06-24T08:02:15.510000Z,2.476339590449773,13,University Potsdam,2019-09-17T15:37:09.815967Z
2016-06-24T09:36:50.701000Z,2.192934782676489,10,University Potsdam,2019-09-17T15:37:16.339037Z
2016-06-24T13:42:16.400000Z,2.907062804726527,12,University Potsdam,2019-09-17T15:37:22.526026Z
2016-06-24T16:10:54.349000Z,1.8122865094394776,13,University Potsdam,2019-09-17T15:37:29.052710Z
2016-06-24T20:35:01.126000Z,2.027134798576263,11,University Potsdam,2019-09-17T15:37:35.623246Z
2016-06-24T20:54:09.644000Z,1.8119765833065316,12,University Potsdam,2019-09-17T15:37:41.757171Z
2016-06-24T21:16:14.524000Z,2.349892320968051,11,University Potsdam,2019-09-17T15:37:48.314268Z
2016-06-24T21:29:48.002000Z,5.232780702226272,13,University Potsdam,2019-09-17T15:37:54.713453Z
2016-06-25T00:00:09.710000Z,1.9679362250020622,12,University Potsdam,2019-09-17T15:38:01.903298Z
2016-06-25T08:40:34.225000Z,3.56553267206737,13,University Potsdam,2019-09-17T15:38:08.586756Z
2016-06-25T15:24:24.513000Z,1.1864996298550796,7,University Potsdam,2019-09-17T15:38:14.831139Z
2016-06-25T16:10:06.508000Z,2.1456863849031214,12,University Potsdam,2019-09-17T15:38:21.434610Z
2016-06-25T18:39:02.174000Z,0.8446943659191919,6,University Potsdam,2019-09-17T15:38:27.616105Z
2016-06-26T06:46:25.795000Z,3.3012029980578976,13,University Potsdam,2019-09-17T15:38:40.376508Z
2016-06-26T06:56:37.513000Z,2.3962286498920093,12,University Potsdam,2019-09-17T15:38:47.139824Z
2016-06-26T12:56:46.563000Z,0.8729738093508175,6,University Potsdam,2019-09-17T15:38:53.753249Z
2016-06-26T13:02:51.443000Z,0.8843701211414601,6,University Potsdam,2019-09-17T15:38:59.893365Z
2016-06-26T18:49:04.573000Z,2.5638288196570223,13,University Potsdam,2019-09-17T15:39:13.077210Z
2016-06-26T19:49:38.569000Z,2.738604750625405,13,University Potsdam,2019-09-17T15:39:19.674017Z
2016-06-27T03:57:19.808000Z,0.9348734966924894,7,University Potsdam,2019-09-17T15:39:26.506956Z
2016-06-27T04:54:11.883000Z,2.280510421765059,10,University Potsdam,2019-09-17T15:39:32.998207Z
2016-06-27T06:14:37.516000Z,2.177685479733478,8,University Potsdam,2019-09-17T15:39:39.432190Z
2016-06-27T10:20:14.496000Z,3.595199336175611,8,University Potsdam,2019-09-17T15:39:45.881992Z
2016-06-28T00:14:16.305000Z,3.716633030100371,13,University Potsdam,2019-09-17T15:39:52.768392Z
2016-06-28T01:59:49.416000Z,0.9637791412415919,9,University Potsdam,2019-09-17T15:39:59.795125Z
